Doc Ref,Particulars,Qty,UOM,Rate,HSN/SAC,Tax %
INV-3224,24-PORT L2 SWITCH,51,nos,28125.93,8517,0.18
INV-3231,Professional retainer compliance,157,month,142910.91,9982,0.18
INV-3238,AC PM VISIT,146,visit,14516.67,9987,0.18
INV-3245,HELMET SAFETY ISI,22,nos,310.14,6506,0.18
INV-3252,A4 PAPER 75GSM RM,109,ream,194.28,4802,0.18
INV-3259,HRC-2.5,22,kg,56.43,7208,0.18
INV-3266,CORRUGATED BOX 5PLY,94,nos,38.67,4819,0.18
INV-3273,LED PANEL 36W 2X2,53,nos,1065.02,9405,0.18
INV-3280,LIGHT-LED-36W,81,nos,1098.17,9405,0.18
INV-3287,SITE MAINTENANCE MONTHLY,62,month,83912.6,9985,0.18
INV-3294,5 ply carton box,30,nos,39.39,4819,0.18
INV-3301,"Paper, A4, white, 75gsm",102,ream,189.19,4802,0.18
INV-3308,SITE MAINTENANCE MONTHLY,74,month,84561.57,9985,0.18
INV-3315,Laptop corporate i5/16/512,79,nos,64045.85,8471,0.18
INV-3322,HR COIL 2.5MM,10,kg,56.08,7208,0.18
INV-3329,STRETCH FILM 23MIC,152,roll,1252.12,3920,0.18
INV-3336,Copier paper A-4 (75 gsm) 500sh,90,ream,197.29,4802,0.18
INV-3343,Professional retainer compliance,105,month,144232.94,9982,0.18
INV-3350,Mild steel angle 50mm,191,kg,57.53,7216,0.18
INV-3357,MS ANGLE 50X50X6,74,kg,59.79,7216,0.18
INV-3364,LAPTOP i5 16GB 512 SSD,170,nos,64047.77,8471,0.18
INV-3371,BOX 5-PLY LARGE,65,nos,39.19,4819,0.18
INV-3378,Aircon servicing,50,visit,14871.68,9987,0.18
INV-3385,BOX 5-PLY LARGE,193,nos,39.75,4819,0.18
INV-3392,Housekeeping services plant,57,month,84662.59,9985,0.18
INV-3399,CRR-5KG,194,nos,188.03,9968,0.18
INV-3406,UPS-1K-LI,144,nos,7039.14,8504,0.18
INV-3413,LLDPE wrap film,23,roll,1249.22,3920,0.18
INV-3420,ANGLE-MS-50,182,kg,58.81,7216,0.18
INV-3427,24 port gigabit switch,88,nos,27479.8,8517,0.18
INV-3434,HELMET SAFETY ISI,151,nos,308.73,6506,0.18
INV-3441,CRR-5KG,115,nos,184.09,9968,0.18
INV-3448,B/P PEN BLU,26,nos,5.49,9608,0.18
INV-3455,"Paper, A4, white, 75gsm",147,ream,189.16,4802,0.18
INV-3462,SWITCH 24P GIG MANAGED,85,nos,27553.81,8517,0.18
INV-3469,HK CONSUMABLES KIT,15,nos,1922.72,3402,0.18
INV-3476,CU-CBL-4SQMM,24,m,71.42,8544,0.18
INV-3483,CU-CBL-4SQMM,65,m,72.33,8544,0.18
INV-3490,PPE-GLV-CTN,152,pair,41.85,6116,0.18
INV-3497,CORRUGATED BOX 5PLY,10,nos,40.06,4819,0.18
INV-3504,LAPTOP i5 16GB 512 SSD,80,nos,62719.21,8471,0.18
INV-3511,Generator servicing call,138,visit,8402.77,9987,0.18
INV-3518,CRR-5KG,162,nos,183.05,9968,0.18
INV-3525,LLDPE wrap film,176,roll,1226.93,3920,0.18
INV-3532,LED PANEL 36W 2X2,200,nos,1079.82,9405,0.18
INV-3539,Copier paper A-4 (75 gsm) 500sh,197,ream,192.63,4802,0.18
INV-3546,CRR-5KG,73,nos,181.77,9968,0.18
INV-3553,Copier paper A-4 (75 gsm) 500sh,165,ream,189.85,4802,0.18
INV-3560,Generator servicing call,89,visit,8684.9,9987,0.18
INV-3567,HK-KIT,156,nos,1918.88,3402,0.18
INV-3574,HK-KIT,76,nos,1894.3,3402,0.18
INV-3581,A4 PAPER 75GSM RM,14,ream,194.04,4802,0.18
INV-3588,5 ply carton box,172,nos,39.6,4819,0.18
INV-3595,SWITCH 24P GIG MANAGED,5,nos,28255.99,8517,0.18
INV-3602,GLOVES COTTON,161,pair,41.06,6116,0.18
INV-3609,A4 PAPER 75GSM RM,90,ream,193.94,4802,0.18
INV-3616,SITE MAINTENANCE MONTHLY,79,month,85546.98,9985,0.18
INV-3623,B/P PEN BLU,129,nos,5.4,9608,0.18
INV-3630,UPS-1K-LI,162,nos,6737.86,8504,0.18
INV-3637,HK-KIT,144,nos,1956.8,3402,0.18
INV-3644,HRC-2.5,58,kg,54.72,7208,0.18
INV-3651,Panel light LED 36 watt,54,nos,1093.55,9405,0.18
INV-3658,Industrial safety helmet,20,nos,301.27,6506,0.18
INV-3665,TONER 12A,15,nos,4294.96,8443,0.18
INV-3672,Enamel paint 20 litre,97,nos,4564.2,3208,0.18
INV-3679,24-PORT L2 SWITCH,144,nos,28151.59,8517,0.18
INV-3686,TONER 12A,113,nos,4096.04,8443,0.18
INV-3693,Panel light LED 36 watt,189,nos,1070.89,9405,0.18
INV-3700,UPS-1K-LI,177,nos,6855.7,8504,0.18
INV-3707,CRR-5KG,16,nos,181.82,9968,0.18
INV-3714,Housekeeping consumable set,71,nos,1993.4,3402,0.18
INV-3721,HVAC preventive maint,151,visit,14805.37,9987,0.18
INV-3728,PNT-ENML-20,106,nos,4382.05,3208,0.18
INV-3735,Blue ball pen,135,nos,5.56,9608,0.18
INV-3742,Courier docket upto 5 kg,10,nos,187.64,9968,0.18
INV-3749,TONER 12A,135,nos,4265.16,8443,0.18
INV-3756,LIGHT-LED-36W,154,nos,1096.64,9405,0.18
INV-3763,Enamel paint 20 litre,42,nos,4533.92,3208,0.18
INV-3770,HELMET SAFETY ISI,187,nos,306.82,6506,0.18
INV-3777,HK-KIT,40,nos,1914.8,3402,0.18
INV-3784,24 inch LED display 1080p IPS,198,nos,9095.56,8528,0.18
INV-3791,COURIER <5KG,118,nos,189.18,9968,0.18
INV-3798,UPS 1KVA,188,nos,6721.71,8504,0.18
INV-3805,A4 PAPER 75GSM RM,66,ream,186.72,4802,0.18
INV-3812,PPE-GLV-CTN,167,pair,41.88,6116,0.18
INV-3819,CU-CBL-4SQMM,120,m,73.56,8544,0.18
INV-3826,HRC-2.5,48,kg,53.29,7208,0.18
INV-3833,Pallet wrap 23 micron,33,roll,1218.93,3920,0.18
INV-3840,CU-CBL-4SQMM,159,m,74.89,8544,0.18
INV-3847,PNT-ENML-20,56,nos,4580.17,3208,0.18
INV-3854,CABLE CU 4SQMM FRLS,172,m,73.67,8544,0.18
INV-3861,Industrial safety helmet,161,nos,315.97,6506,0.18
INV-3868,UPS 1KVA,189,nos,6774.84,8504,0.18
INV-3875,24 inch LED display 1080p IPS,9,nos,9122.5,8528,0.18
INV-3882,24-PORT L2 SWITCH,31,nos,27392.6,8517,0.18
INV-3889,24-PORT L2 SWITCH,182,nos,27484.05,8517,0.18
INV-3896,24 inch LED display 1080p IPS,159,nos,9287.52,8528,0.18
INV-3903,COMPLIANCE RETAINER MONTHLY,113,month,142875.37,9982,0.18
INV-3910,HRC-2.5,98,kg,54.42,7208,0.18
INV-3917,PEN BALL BLUE 0.7,55,nos,5.44,9608,0.18
INV-3924,Facility upkeep monthly,105,month,81483.9,9985,0.18
INV-3931,LED PANEL 36W 2X2,55,nos,1059.48,9405,0.18
INV-3938,HK-KIT,9,nos,2001.24,3402,0.18
INV-3945,DG SET SERVICE VISIT,188,visit,8843.51,9987,0.18
INV-3952,GLOVES COTTON,169,pair,41.88,6116,0.18
INV-3959,Screen 24in IPS FHD,18,nos,9070.44,8528,0.18
INV-3966,HR COIL 2.5MM,65,kg,53.81,7208,0.18
INV-3973,24 port gigabit switch,37,nos,26804.29,8517,0.18
INV-3980,UPS 1KVA,173,nos,6984.11,8504,0.18
INV-3987,Copper wire 4 sq.mm FRLS,92,m,71.1,8544,0.18
INV-3994,Housekeeping services plant,70,month,85723.02,9985,0.18
INV-4001,Panel light LED 36 watt,27,nos,1073.02,9405,0.18
INV-4008,Professional retainer compliance,171,month,140836.46,9982,0.18
INV-4015,UPS 1KVA,31,nos,6925.52,8504,0.18
INV-4022,A4 PAPER 75GSM RM,193,ream,186.26,4802,0.18
INV-4029,Uninterruptible power supply 1kva,166,nos,6742.57,8504,0.18
INV-4036,B/P PEN BLU,30,nos,5.53,9608,0.18
INV-4043,CABLE CU 4SQMM FRLS,87,m,74.24,8544,0.18
INV-4050,ADVISORY RETAINER,136,month,141629.34,9982,0.18
INV-4057,Housekeeping services plant,200,month,86411.39,9985,0.18
INV-4064,SITE MAINTENANCE MONTHLY,38,month,84679.79,9985,0.18
INV-4071,HR COIL 2.5MM,61,kg,55.81,7208,0.18
INV-4078,STRETCH FILM 23MIC,139,roll,1272.85,3920,0.18
INV-4085,Copper wire 4 sq.mm FRLS,177,m,72.96,8544,0.18
INV-4092,MONITOR 24 FHD IPS,164,nos,9211.06,8528,0.18
INV-4099,LIGHT-LED-36W,62,nos,1059.17,9405,0.18
INV-4106,TONER 12A,51,nos,4154.25,8443,0.18
INV-4113,TONER 12A,82,nos,4296.53,8443,0.18
INV-4120,PPE-GLV-CTN,18,pair,42.41,6116,0.18
INV-4127,Facility upkeep monthly,40,month,81559.76,9985,0.18
INV-4134,PNT-ENML-20,34,nos,4535.84,3208,0.18
INV-4141,STRETCH FILM 23MIC,40,roll,1264.74,3920,0.18
INV-4148,HRC-2.5,149,kg,53.63,7208,0.18
INV-4155,TRANSPORT MDU>CHN,142,trip,21350.21,9965,0.18
INV-4162,LED PANEL 36W 2X2,16,nos,1076.07,9405,0.18
INV-4169,PNT-ENML-20,123,nos,4575.28,3208,0.18
INV-4176,Copper wire 4 sq.mm FRLS,90,m,71.43,8544,0.18
INV-4183,HK CONSUMABLES KIT,111,nos,1968.51,3402,0.18
INV-4190,CORRUGATED BOX 5PLY,200,nos,39.27,4819,0.18
INV-4197,CU-CBL-4SQMM,188,m,71.09,8544,0.18
INV-4204,24 port gigabit switch,124,nos,27638.8,8517,0.18
INV-4211,24 inch LED display 1080p IPS,18,nos,9061.9,8528,0.18
INV-4218,HELMET SAFETY ISI,113,nos,311.88,6506,0.18
INV-4225,DG SET SERVICE VISIT,66,visit,8599.37,9987,0.18
INV-4232,CORRUGATED BOX 5PLY,110,nos,40.43,4819,0.18
INV-4239,HK CONSUMABLES KIT,43,nos,1983.85,3402,0.18
INV-4246,LLDPE wrap film,94,roll,1274.84,3920,0.18
INV-4253,CABLE CU 4SQMM FRLS,186,m,71.03,8544,0.18
INV-4260,CABLE CU 4SQMM FRLS,158,m,73.5,8544,0.18
INV-4267,Housekeeping services plant,149,month,84172.46,9985,0.18
INV-4274,Facility upkeep monthly,133,month,84742.94,9985,0.18
INV-4281,UPS 1KVA,137,nos,6798.12,8504,0.18
INV-4288,HK CONSUMABLES KIT,74,nos,1987.96,3402,0.18
INV-4295,TONER 12A,163,nos,4131.6,8443,0.18
INV-4302,BOX 5-PLY LARGE,115,nos,40.55,4819,0.18
INV-4309,Copper wire 4 sq.mm FRLS,145,m,71.51,8544,0.18
INV-4316,A4 PAPER 75GSM RM,97,ream,192.78,4802,0.18
INV-4323,Mild steel angle 50mm,170,kg,57.96,7216,0.18
INV-4330,Hot rolled coil 2.5,19,kg,55.35,7208,0.18
INV-4337,Generator servicing call,131,visit,8365.92,9987,0.18
INV-4344,LAPTOP i5 16GB 512 SSD,19,nos,61188.03,8471,0.18
INV-4351,"Paper, A4, white, 75gsm",27,ream,193.46,4802,0.18
INV-4358,Copper wire 4 sq.mm FRLS,72,m,72.09,8544,0.18
INV-4365,Hot rolled coil 2.5,194,kg,55.35,7208,0.18
INV-4372,24 inch LED display 1080p IPS,91,nos,9212.83,8528,0.18
INV-4379,ANGLE-MS-50,120,kg,58.74,7216,0.18
INV-4386,24 port gigabit switch,163,nos,26975.87,8517,0.18
INV-4393,PPE-HELMET,82,nos,312.42,6506,0.18
INV-4400,DG-PM-VISIT,199,visit,8720.52,9987,0.18
INV-4407,24 port gigabit switch,138,nos,27459.46,8517,0.18
INV-4414,HK CONSUMABLES KIT,96,nos,1996.42,3402,0.18
INV-4421,LLDPE wrap film,149,roll,1256.92,3920,0.18
INV-4428,TNR-12A,21,nos,4251.87,8443,0.18
INV-4435,Copper wire 4 sq.mm FRLS,195,m,71.29,8544,0.18
INV-4442,DG SET SERVICE VISIT,77,visit,8403.59,9987,0.18
INV-4449,24 inch LED display 1080p IPS,183,nos,8952.58,8528,0.18
INV-4456,ADVISORY RETAINER,153,month,147790.56,9982,0.18
INV-4463,Aircon servicing,87,visit,14632.24,9987,0.18
INV-4470,ANGLE-MS-50,128,kg,57.93,7216,0.18
INV-4477,Courier docket upto 5 kg,119,nos,190.02,9968,0.18
INV-4484,UPS-1K-LI,45,nos,7097.08,8504,0.18
INV-4491,UPS-1K-LI,140,nos,6844.38,8504,0.18
INV-4498,24 inch LED display 1080p IPS,63,nos,8981.04,8528,0.18
INV-4505,24-PORT L2 SWITCH,47,nos,26852.36,8517,0.18
INV-4512,TNR-12A,90,nos,4076.63,8443,0.18
INV-4519,"Paper, A4, white, 75gsm",161,ream,196.77,4802,0.18
INV-4526,Industrial safety helmet,156,nos,302.92,6506,0.18
INV-4533,LED PANEL 36W 2X2,186,nos,1097.08,9405,0.18
INV-4540,Mild steel angle 50mm,95,kg,59.56,7216,0.18
INV-4547,PNT-ENML-20,117,nos,4411.22,3208,0.18
INV-4554,A4 PAPER 75GSM RM,153,ream,187.42,4802,0.18
INV-4561,MONITOR 24 FHD IPS,41,nos,9064.09,8528,0.18
INV-4568,CABLE CU 4SQMM FRLS,98,m,71.74,8544,0.18
INV-4575,Copper wire 4 sq.mm FRLS,107,m,73.38,8544,0.18
INV-4582,CU-CBL-4SQMM,183,m,74.74,8544,0.18
INV-4589,A4 PAPER 75GSM RM,114,ream,192.6,4802,0.18
INV-4596,Mild steel angle 50mm,72,kg,57.44,7216,0.18
INV-4603,SITE MAINTENANCE MONTHLY,21,month,86117.21,9985,0.18
INV-4610,COMPLIANCE RETAINER MONTHLY,167,month,142731.19,9982,0.18
INV-4617,PPE-HELMET,126,nos,314.86,6506,0.18
INV-4624,HR COIL 2.5MM,125,kg,55.02,7208,0.18
INV-4631,Pallet wrap 23 micron,34,roll,1235.42,3920,0.18
INV-4638,CU-CBL-4SQMM,108,m,73.73,8544,0.18
INV-4645,24 port gigabit switch,139,nos,26923.47,8517,0.18
INV-4652,A4 PAPER 75GSM RM,91,ream,196.68,4802,0.18
INV-4659,CORRUGATED BOX 5PLY,69,nos,39.27,4819,0.18
INV-4666,PEN BALL BLUE 0.7,73,nos,5.41,9608,0.18
INV-4673,UPS-1K-LI,99,nos,7036.12,8504,0.18
INV-4680,HK-KIT,57,nos,1954.12,3402,0.18
INV-4687,STRETCH FILM 23MIC,81,roll,1212.22,3920,0.18
INV-4694,ANGLE-MS-50,181,kg,58.36,7216,0.18
INV-4701,MONITOR 24 FHD IPS,197,nos,9071.89,8528,0.18
INV-4708,Courier docket upto 5 kg,81,nos,184.98,9968,0.18
INV-4715,Hot rolled coil 2.5,72,kg,54.92,7208,0.18
INV-4722,COURIER <5KG,142,nos,186.96,9968,0.18
INV-4729,STRETCH FILM 23MIC,198,roll,1243.05,3920,0.18
INV-4736,PPE-GLV-CTN,14,pair,41.94,6116,0.18
INV-4743,CORRUGATED BOX 5PLY,189,nos,39.55,4819,0.18
INV-4750,TONER 12A,118,nos,4075.35,8443,0.18
INV-4757,DG SET SERVICE VISIT,152,visit,8695.41,9987,0.18
INV-4764,Truck full load Madurai Chennai,81,trip,21920.62,9965,0.18
INV-4771,LLDPE wrap film,78,roll,1265.94,3920,0.18
INV-4778,24 port gigabit switch,29,nos,28411.38,8517,0.18
INV-4785,FTL MDU-MAA,102,trip,21516.19,9965,0.18
INV-4792,Pallet wrap 23 micron,9,roll,1239.96,3920,0.18
INV-4799,ADVISORY RETAINER,68,month,149221.85,9982,0.18
INV-4806,CRR-5KG,29,nos,190.47,9968,0.18
INV-4813,24-PORT L2 SWITCH,97,nos,28140.77,8517,0.18
INV-4820,COURIER <5KG,152,nos,190.05,9968,0.18
INV-4827,GLOVES COTTON,163,pair,42.91,6116,0.18
INV-4834,LIGHT-LED-36W,24,nos,1093.12,9405,0.18
INV-4841,HK-KIT,167,nos,1915.26,3402,0.18
INV-4848,"Paper, A4, white, 75gsm",27,ream,197.17,4802,0.18
INV-4855,COMPLIANCE RETAINER MONTHLY,77,month,143658.36,9982,0.18
INV-4862,HR COIL 2.5MM,95,kg,56.35,7208,0.18
INV-4869,Copper wire 4 sq.mm FRLS,60,m,74.12,8544,0.18
INV-4876,FTL MDU-MAA,24,trip,21484.52,9965,0.18
INV-4883,PPE-HELMET,183,nos,309.75,6506,0.18
INV-4890,HK CONSUMABLES KIT,20,nos,1923.98,3402,0.18
INV-4897,GLOVES COTTON,36,pair,41.76,6116,0.18
INV-4904,HELMET SAFETY ISI,125,nos,315.71,6506,0.18
INV-4911,Blue ball pen,158,nos,5.52,9608,0.18
INV-4918,Housekeeping services plant,117,month,83508.45,9985,0.18
INV-4925,24-PORT L2 SWITCH,73,nos,27117.2,8517,0.18
INV-4932,24 inch LED display 1080p IPS,59,nos,9068.05,8528,0.18
INV-4939,Housekeeping consumable set,15,nos,1998.94,3402,0.18
INV-4946,CABLE CU 4SQMM FRLS,13,m,74.48,8544,0.18
INV-4953,HK-KIT,99,nos,1929.69,3402,0.18
INV-4960,UPS-1K-LI,35,nos,7037.62,8504,0.18
INV-4967,TNR-12A,56,nos,4121.14,8443,0.18
INV-4974,Hand gloves cotton pair,108,pair,43.21,6116,0.18
INV-4981,CU-CBL-4SQMM,69,m,73.99,8544,0.18
INV-4988,PAINT ENAMEL 20L,68,nos,4377.03,3208,0.18
INV-4995,Mild steel angle 50mm,165,kg,57.1,7216,0.18
INV-5002,TONER 12A,80,nos,4169.45,8443,0.18
INV-5009,Copier paper A-4 (75 gsm) 500sh,90,ream,191.36,4802,0.18
INV-5016,Facility upkeep monthly,49,month,85575.26,9985,0.18
INV-5023,SITE MAINTENANCE MONTHLY,60,month,84870.88,9985,0.18
INV-5030,Hand gloves cotton pair,146,pair,43.08,6116,0.18
INV-5037,Enamel paint 20 litre,159,nos,4470.75,3208,0.18
INV-5044,BOX 5-PLY LARGE,87,nos,38.66,4819,0.18
INV-5051,Mild steel angle 50mm,106,kg,58.31,7216,0.18
INV-5058,PNT-ENML-20,119,nos,4501.79,3208,0.18
INV-5065,Facility upkeep monthly,24,month,86342.16,9985,0.18
INV-5072,Aircon servicing,93,visit,14748.76,9987,0.18
INV-5079,MONITOR 24 FHD IPS,123,nos,9168.89,8528,0.18
INV-5086,HR COIL 2.5MM,112,kg,55.98,7208,0.18
INV-5093,Mild steel angle 50mm,174,kg,58.27,7216,0.18
INV-5100,MS ANGLE 50X50X6,74,kg,58.47,7216,0.18
INV-5107,TRANSPORT MDU>CHN,6,trip,21249.06,9965,0.18
INV-5114,PEN BALL BLUE 0.7,25,nos,5.33,9608,0.18
INV-5121,Uninterruptible power supply 1kva,113,nos,6898.84,8504,0.18
INV-5128,"Paper, A4, white, 75gsm",21,ream,192.14,4802,0.18
INV-5135,Truck full load Madurai Chennai,109,trip,21775.63,9965,0.18
INV-5142,CABLE CU 4SQMM FRLS,8,m,71.96,8544,0.18
INV-5149,ANGLE-MS-50,115,kg,57.05,7216,0.18
INV-5156,CRR-5KG,154,nos,181.67,9968,0.18
INV-5163,Blue ball pen,141,nos,5.32,9608,0.18
INV-5170,Hot rolled coil 2.5,138,kg,55.07,7208,0.18
INV-5177,LAPTOP i5 16GB 512 SSD,162,nos,62420.47,8471,0.18
INV-5184,MS ANGLE 50X50X6,92,kg,58.07,7216,0.18
INV-5191,BOX 5-PLY LARGE,10,nos,39.02,4819,0.18
INV-5198,HRC-2.5,22,kg,55.16,7208,0.18
INV-5205,Housekeeping consumable set,134,nos,1948.42,3402,0.18
INV-5212,TONER 12A,173,nos,4140.63,8443,0.18
INV-5219,MS ANGLE 50X50X6,149,kg,58.09,7216,0.18
INV-5226,ANGLE-MS-50,183,kg,56.6,7216,0.18
INV-5233,SITE MAINTENANCE MONTHLY,125,month,82254.24,9985,0.18
INV-5240,Hand gloves cotton pair,102,pair,41.18,6116,0.18
INV-5247,HK CONSUMABLES KIT,11,nos,1923.38,3402,0.18
INV-5254,AC PM VISIT,152,visit,14591.65,9987,0.18
INV-5261,Cartridge toner 12A compatible,179,nos,4162.85,8443,0.18
INV-5268,24-PORT L2 SWITCH,55,nos,28146.04,8517,0.18
INV-5275,DG-PM-VISIT,92,visit,8387.71,9987,0.18
INV-5282,Enamel paint 20 litre,195,nos,4370.95,3208,0.18
INV-5289,Enamel paint 20 litre,108,nos,4519.83,3208,0.18
INV-5296,CU-CBL-4SQMM,21,m,71.75,8544,0.18
INV-5303,SITE MAINTENANCE MONTHLY,192,month,83745.88,9985,0.18
INV-5310,BOX 5-PLY LARGE,24,nos,38.5,4819,0.18
INV-5317,STRETCH FILM 23MIC,41,roll,1233.68,3920,0.18
INV-5324,24-PORT L2 SWITCH,106,nos,27719.47,8517,0.18
INV-5331,Professional retainer compliance,161,month,143757.61,9982,0.18
INV-5338,PPE-GLV-CTN,191,pair,42.56,6116,0.18
INV-5345,PPE-HELMET,190,nos,301.17,6506,0.18
INV-5352,SWITCH 24P GIG MANAGED,19,nos,28315.94,8517,0.18
INV-5359,ANGLE-MS-50,10,kg,59.4,7216,0.18
INV-5366,MS ANGLE 50X50X6,129,kg,57.86,7216,0.18
INV-5373,HR COIL 2.5MM,50,kg,53.24,7208,0.18
INV-5380,HELMET SAFETY ISI,106,nos,317.08,6506,0.18
INV-5387,GLOVES COTTON,53,pair,41.98,6116,0.18
INV-5394,Enamel paint 20 litre,35,nos,4365.01,3208,0.18
INV-5401,ANGLE-MS-50,157,kg,59.49,7216,0.18
INV-5408,AC PM VISIT,131,visit,14454.72,9987,0.18
INV-5415,MS ANGLE 50X50X6,7,kg,57.74,7216,0.18
INV-5422,Hot rolled coil 2.5,159,kg,54.05,7208,0.18
INV-5429,Copper wire 4 sq.mm FRLS,147,m,74.84,8544,0.18
INV-5436,STRETCH FILM 23MIC,174,roll,1214.76,3920,0.18
INV-5443,LAPTOP i5 16GB 512 SSD,64,nos,62788.16,8471,0.18
INV-5450,HVAC preventive maint,157,visit,14554.24,9987,0.18
INV-5457,CABLE CU 4SQMM FRLS,7,m,72.68,8544,0.18
INV-5464,Copper wire 4 sq.mm FRLS,59,m,71.73,8544,0.18
INV-5471,Generator servicing call,21,visit,8412.29,9987,0.18
INV-5478,CU-CBL-4SQMM,62,m,74.34,8544,0.18
INV-5485,Copper wire 4 sq.mm FRLS,120,m,75.06,8544,0.18
INV-5492,Mild steel angle 50mm,116,kg,57.66,7216,0.18
INV-5499,CU-CBL-4SQMM,39,m,72.8,8544,0.18
INV-5506,24-PORT L2 SWITCH,43,nos,27207.33,8517,0.18
INV-5513,Hand gloves cotton pair,96,pair,41.91,6116,0.18
INV-5520,CU-CBL-4SQMM,96,m,72.54,8544,0.18
INV-5527,HVAC preventive maint,73,visit,14285.03,9987,0.18
INV-5534,DG-PM-VISIT,184,visit,8754.37,9987,0.18
INV-5541,ANGLE-MS-50,105,kg,59.22,7216,0.18
INV-5548,LAPTOP i5 16GB 512 SSD,52,nos,62572.17,8471,0.18
INV-5555,AC PM VISIT,101,visit,14912.44,9987,0.18
INV-5562,Courier docket upto 5 kg,87,nos,183.85,9968,0.18
INV-5569,CABLE CU 4SQMM FRLS,165,m,73.87,8544,0.18
INV-5576,Enamel paint 20 litre,60,nos,4350.12,3208,0.18
INV-5583,HELMET SAFETY ISI,11,nos,310.69,6506,0.18
INV-5590,COMPLIANCE RETAINER MONTHLY,193,month,142196.35,9982,0.18
INV-5597,DG-PM-VISIT,90,visit,8518.08,9987,0.18
INV-5604,Aircon servicing,90,visit,14255.38,9987,0.18
INV-5611,GLOVES COTTON,172,pair,41.68,6116,0.18
INV-5618,B/P PEN BLU,6,nos,5.53,9608,0.18
INV-5625,COMPLIANCE RETAINER MONTHLY,40,month,147279.5,9982,0.18
INV-5632,Panel light LED 36 watt,164,nos,1088.85,9405,0.18
INV-5639,CABLE CU 4SQMM FRLS,69,m,74.49,8544,0.18
INV-5646,CABLE CU 4SQMM FRLS,129,m,72.08,8544,0.18
INV-5653,CABLE CU 4SQMM FRLS,17,m,71.27,8544,0.18
INV-5660,COURIER <5KG,134,nos,188.57,9968,0.18
INV-5667,LLDPE wrap film,47,roll,1259.14,3920,0.18
INV-5674,Hand gloves cotton pair,17,pair,41.7,6116,0.18
INV-5681,AC PM VISIT,164,visit,14079.08,9987,0.18
INV-5688,CABLE CU 4SQMM FRLS,162,m,72.03,8544,0.18
INV-5695,MONITOR 24 FHD IPS,132,nos,9108.32,8528,0.18
INV-5702,SWITCH 24P GIG MANAGED,141,nos,28285.95,8517,0.18
INV-5709,HELMET SAFETY ISI,110,nos,311.14,6506,0.18
INV-5716,Copper wire 4 sq.mm FRLS,153,m,74.77,8544,0.18
INV-5723,LAPTOP i5 16GB 512 SSD,62,nos,61682.09,8471,0.18
INV-5730,DG SET SERVICE VISIT,96,visit,8606.26,9987,0.18
INV-5737,TONER 12A,109,nos,4196.11,8443,0.18
INV-5744,TRANSPORT MDU>CHN,77,trip,21904.22,9965,0.18
INV-5751,CRR-5KG,97,nos,180.99,9968,0.18
INV-5758,SITE MAINTENANCE MONTHLY,100,month,82554.09,9985,0.18
INV-5765,LAPTOP i5 16GB 512 SSD,95,nos,62022.9,8471,0.18
INV-5772,PAINT ENAMEL 20L,52,nos,4405.71,3208,0.18
INV-5779,DG-PM-VISIT,187,visit,8639.96,9987,0.18
